segment_id,segment_label,segment_type,start_sample_index,end_sample_index,start_row_index,end_row_index,start_epoch_time,end_epoch_time,start_time,end_time,sample_count,duration_s,avg_fx,avg_fy,avg_fz,avg_mx,avg_my,avg_mz,avg_force_magnitude,avg_force_base_x,avg_force_base_y,avg_force_base_z,std_force_base_z,pose_distance_to_final,reference_score,reference_rejected_reason,is_reference_segment,is_final_measurement_segment,is_window_reference,delta_force_base_z_to_reference,delta_force_magnitude_to_reference,estimated_mass_g_from_base_z
0,S0,stable_segment,3,163,3,163,1777637018.1683488,1777637019.2725065,3532.52,3533.7439999999997,161,1.1041576862335205,5.578447204968945,34.499006211180124,52.71565217391305,0.433527950310559,0.7455900621118013,1.3108695652173914,63.24749761277589,-29.8443360747068,-54.32370890057425,12.589298817008382,0.06256221769309991,0.8900428491600703,nan,high_load_pose_mismatch,0,0,0,18.730326786703074,7.200788782300187,1909.9617898775907
1,S1,stable_segment,805,1193,805,1193,1777637023.6678166,1777637026.3341646,3538.632,3541.5919999999996,389,2.6663479804992676,6.225501285347044,20.97814910025707,47.65917737789203,0.4628817480719794,0.46466838046272485,2.1151362467866326,52.52537971092238,-33.28427403141156,-40.17097897557863,-5.356265231191718,0.482924925565025,0.0,nan,,0,1,0,0.784762738502975,-3.5213291195533216,80.02352877924417
window_reference,W_REF,window_reference,672,731,672,731,1777637022.753864,1777637023.1664302,3537.616,3538.0719999999997,60,0.4125661849975586,3.5850000000000004,24.578,49.976500000000016,0.4508500000000001,0.5153999999999999,1.8412499999999998,56.0467088304757,-36.12089381077396,-42.21986671449767,-6.141027969694693,1.9864246945046147,0.22455279577572418,3.6803296484580392,,1,0,1,0.0,0.0,0.0
