sample_index,source_row_index,epoch_time,Time,Tgt_q0,Tgt_q1,Tgt_q2,Tgt_q3,Tgt_q4,Tgt_q5,Act_X,Act_Y,Act_Z,Act_RX,Act_RY,Act_RZ,Fx,Fy,Fz,Mx,My,Mz,force_magnitude,force_base_x,force_base_y,force_base_z,ur_fresh,ft_fresh,is_candidate_reference,is_reference_segment,is_final_measurement_window
0,0,1777637017.9827988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.61,34.41,52.73,0.433,0.745,1.312,63.2137097471743,nan,nan,nan,0,1,0,0,0
1,1,1777637018.1272979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.67,34.48,52.73,0.433,0.743,1.311,63.25719089558119,nan,nan,nan,0,1,0,0,0
2,2,1777637018.1610231,3532.5119999999997,2.2382376194000244,0.19928908348083496,-1.8107078711139124,-0.5707882086383265,2.2096526622772212,0.794679939746857,0.6470626796515948,-0.5599234720645935,0.9096676184623674,-0.7016612989002553,-0.654065939031973,1.5597444853336881,5.67,34.48,52.73,0.433,0.743,1.311,63.25719089558119,-29.813426690586702,-54.33176889708401,12.676382665368946,1,0,0,0,0
3,3,1777637018.1683488,3532.52,2.2382376194000244,0.19928908348083496,-1.8107078711139124,-0.5707882086383265,2.2096526622772212,0.794679939746857,0.6470748362524067,-0.5599045792623615,0.9096837673746134,-0.7016926427759487,-0.6541069543551141,1.5597975404756674,5.67,34.48,52.73,0.433,0.743,1.311,63.25719089558119,-29.810649725539765,-54.33332251556016,12.676254468939089,1,0,0,0,0
4,4,1777637018.1770132,3532.528,2.2382376194000244,0.19928908348083496,-1.8107078711139124,-0.5707882086383265,2.2096526622772212,0.794679939746857,0.6470345114176386,-0.5599319465285244,0.909688175833159,-0.7017227317059229,-0.6540676177083674,1.5597120725838054,5.67,34.48,52.73,0.433,0.743,1.311,63.25719089558119,-29.81579391999857,-54.33049146395648,12.676290080505751,1,0,0,0,0
5,5,1777637018.231781,3532.536,2.2382376194000244,0.19928908348083496,-1.8107078711139124,-0.5707882086383265,2.2096526622772212,0.794679939746857,0.6470706020245949,-0.5599563770933762,0.909664681662169,-0.7016199432522022,-0.654081329278793,1.5597183293984673,5.67,34.48,52.73,0.433,0.743,1.311,63.25719089558119,-29.81393246124737,-54.33193609528577,12.674476373166787,1,0,0,0,0
6,6,1777637018.2318213,3532.544,2.2382376194000244,0.19928908348083496,-1.8107078711139124,-0.5707882086383265,2.2096526622772212,0.794679939746857,0.6470283727215345,-0.559921639404034,0.9097054317986814,-0.7017087647838254,-0.6540558180632174,1.5597084844800302,5.67,34.48,52.73,0.433,0.743,1.311,63.25719089558119,-29.815957753370938,-54.3303392216401,12.676557234151291,1,0,0,0,0
7,7,1777637018.2329865,3532.5519999999997,2.2382376194000244,0.19928908348083496,-1.8107078711139124,-0.5707882086383265,2.2096526622772212,0.794679939746857,0.6470703265618678,-0.5599704562667327,0.9096520480231327,-0.7016279132440456,-0.6540861067048647,1.5597197276980903,5.67,34.48,52.73,0.433,0.743,1.311,63.25719089558119,-29.813899309221597,-54.33197277844631,12.67439710525765,1,0,0,0,0
8,8,1777637018.2330208,3532.56,2.2382376194000244,0.19928908348083496,-1.8107078711139124,-0.5707882086383265,2.2096526622772212,0.794679939746857,0.6470629419720217,-0.5599194301169697,0.9096754092782255,-0.7016925244095901,-0.6540600359545716,1.5597594182447219,5.67,34.48,52.73,0.433,0.743,1.311,63.25719089558119,-29.813196098027092,-54.33164907786203,12.677438499185651,1,0,0,0,0
9,9,1777637018.2349145,3532.5679999999998,2.2382376194000244,0.19928908348083496,-1.8107078711139124,-0.5707882086383265,2.2096526622772212,0.794679939746857,0.6470594382932006,-0.5599303705198759,0.9096849510409757,-0.7016455765038901,-0.6540618854536662,1.5597098337625424,5.67,34.48,52.73,0.433,0.743,1.311,63.25719089558119,-29.81496990473869,-54.33113094232184,12.675487371608389,1,0,0,0,0
