timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777637633080.858,2,30.00,1440.206,268,2589,462.470
1777637633111.505,3,33.96,1440.294,268,2633,463.233
1777637633684.619,22,25.91,1440.831,268,2633,463.313
1777637633744.238,24,23.43,1440.607,268,2633,462.048
1777637633773.963,25,25.24,1441.564,268,6313,465.391
1777637634011.516,33,19.99,1440.568,268,2702,462.725
1777637634975.756,66,15.25,1434.285,268,2667,460.664
1777637635335.683,78,12.13,1432.367,268,3141,460.691
1777637635365.665,79,13.17,1431.810,268,5782,460.914
1777637635695.349,90,10.69,1430.582,268,2787,459.364
1777637635755.268,92,9.04,1431.441,268,6725,459.766
1777637636474.932,116,7.26,1422.906,268,2567,460.542
1777637636504.906,117,14.34,1420.796,268,2589,462.019
1777637636624.789,121,12.77,1418.249,268,2546,461.217
1777637636744.655,125,11.71,1413.683,268,2905,461.204
1777637636864.564,129,10.82,1411.837,268,3239,460.729
1777637636894.583,130,17.35,1412.471,268,3239,460.100
1777637638155.051,172,13.21,1402.084,268,7366,463.676
1777637638395.661,180,10.92,1406.881,268,20624,496.716
1777637638576.149,186,9.64,1408.669,268,34373,551.362
1777637638816.837,194,8.26,1408.122,268,36394,547.080
1777637639177.238,206,6.90,1401.951,268,23796,494.841
1777637639207.268,207,13.13,1402.715,268,38669,573.050
1777637639267.330,209,13.48,1401.264,268,19958,502.721
1777637639297.360,210,14.29,1400.982,268,18749,496.486
1777637639747.831,225,11.33,1394.396,268,3094,465.606
1777637639837.926,228,10.80,1393.486,268,2762,464.930
1777637640138.337,238,8.94,1388.573,268,2475,465.659
1777637640288.604,243,8.51,1385.977,268,6007,467.533
1777637640468.932,249,7.42,1392.343,268,56246,738.207
1777637640949.755,265,6.17,1389.280,268,12627,508.809
1777637640979.783,266,13.21,1387.067,268,9979,479.914
1777637641009.772,267,17.76,1386.781,268,9821,475.944
1777637641129.725,271,15.23,1387.404,268,6875,473.440
1777637641519.533,284,12.08,1394.993,268,7832,469.518
1777637641729.404,291,10.25,1392.223,268,16722,488.427
1777637641849.323,295,9.70,1385.886,268,3078,469.204
1777637642089.465,303,8.32,1375.910,268,7832,484.201
1777637642509.813,317,6.84,1379.408,268,9667,471.523
1777637642569.865,319,9.08,1379.139,268,15468,476.919
1777637642629.917,321,10.52,1381.293,268,12131,477.852
1777637642659.944,322,22.64,1379.802,268,2864,464.968
1777637642750.024,325,19.61,1382.853,268,11048,481.354
1777637642990.229,333,15.76,1384.115,268,5288,467.039
1777637643140.314,338,13.44,1382.503,268,6875,467.099
1777637643470.495,349,10.84,1383.569,268,2465,464.611
1777637643500.511,350,17.86,1382.918,268,5243,465.667
1777637643560.543,352,17.50,1383.000,268,2465,465.116
1777637643590.559,353,21.26,1383.431,268,2465,465.177
1777637644040.855,368,16.49,1383.866,268,2878,465.715
1777637644251.070,375,13.60,1384.423,268,3109,466.624
