timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777643574450.363,1,30.00,1494.649,270,65535,812.563
1777643574573.815,5,29.29,1473.465,268,2667,417.025
1777643574965.900,18,22.62,1472.686,268,2655,417.456
1777643575144.172,24,18.31,1472.591,268,2644,417.023
1777643575203.508,26,18.02,1473.194,268,2690,417.833
1777643575760.661,45,13.95,1474.312,268,2644,416.952
1777643575904.359,50,12.14,1473.551,269,2644,417.892
1777643576278.019,63,9.75,1474.171,268,2655,416.747
1777643576638.375,75,8.00,1474.058,268,2667,417.676
1777643576998.800,87,6.71,1474.548,268,2702,417.856
1777643577028.838,88,12.04,1474.761,269,2644,418.368
1777643577239.096,95,10.22,1473.511,269,2667,418.221
1777643577299.142,97,12.16,1474.199,268,2678,417.422
1777643577359.091,99,13.31,1474.208,269,2655,417.601
1777643577389.063,100,18.11,1473.669,269,2667,419.052
1777643577419.035,101,22.10,1475.056,269,2655,418.556
1777643577748.632,112,17.31,1473.593,268,2690,418.623
1777643577808.542,114,17.34,1473.830,269,2702,419.907
1777643577898.396,117,15.90,1474.581,269,2690,418.337
1777643577928.345,118,20.43,1474.557,269,2655,418.875
1777643577958.293,119,23.32,1473.942,269,2678,418.029
1777643578137.950,125,18.83,1474.324,269,2678,418.538
1777643578197.827,127,18.76,1474.167,269,2667,418.878
1777643578377.842,133,15.46,1474.617,268,2690,417.724
1777643578437.844,135,15.65,1474.790,269,2667,418.852
1777643578677.848,143,12.79,1475.413,268,2655,417.860
1777643578707.847,144,16.20,1475.507,268,2678,417.097
1777643578857.844,149,13.90,1474.789,268,2690,418.446
1777643578917.841,151,14.44,1474.734,268,2678,418.275
1777643579067.832,156,11.86,1473.974,269,2633,419.028
1777643579397.917,167,9.94,1473.988,268,2644,419.246
1777643579488.017,170,10.31,1475.277,269,2690,418.715
1777643579518.051,171,15.94,1474.976,269,2678,419.158
1777643579548.085,172,12.96,1475.346,268,2690,418.019
1777643579938.560,185,11.17,1474.965,269,2678,418.372
1777643580208.920,194,9.29,1475.010,269,2644,418.909
1777643580449.100,202,7.98,1474.980,268,2678,419.306
1777643580809.545,214,6.70,1474.982,268,2690,418.061
1777643580839.585,215,13.38,1476.123,268,2644,418.000
1777643580929.709,218,12.69,1475.648,269,2667,418.886
1777643580959.751,219,19.44,1475.280,268,2633,418.553
1777643580989.793,220,22.81,1475.269,268,2667,418.778
1777643581019.837,221,25.36,1474.696,268,2655,419.251
1777643581049.880,222,25.24,1475.673,268,2655,418.916
1777643581230.117,228,20.39,1475.947,268,2655,417.454
1777643581260.130,229,23.34,1475.105,268,2644,418.859
1777643581290.143,230,26.48,1475.184,268,2667,419.272
1777643581440.459,235,21.46,1475.020,268,2655,418.790
1777643581620.942,241,17.49,1475.449,268,2667,418.450
1777643581681.110,243,17.65,1475.741,268,2644,418.772
1777643581711.195,244,20.66,1475.862,268,2678,418.309
1777643581801.456,247,18.17,1475.548,268,2667,419.292
1777643582072.287,256,14.55,1475.872,269,2667,418.881
1777643582192.679,260,13.15,1475.668,268,2655,418.876
1777643582342.880,265,11.47,1475.080,269,2667,419.170
1777643582552.930,272,9.80,1475.878,268,2655,418.668
1777643582582.937,273,13.79,1475.066,268,2678,418.340
1777643582612.943,274,22.62,1475.387,268,2678,418.441
1777643582943.000,285,17.73,1475.796,268,2644,419.320
1777643582973.004,286,21.41,1475.170,268,2655,419.559
1777643583003.008,287,24.53,1475.804,268,2667,418.328
1777643583033.012,288,26.06,1475.344,269,2678,418.486
1777643583063.015,289,27.90,1475.782,268,2644,418.781
1777643583243.033,295,22.06,1475.587,268,2678,419.040
1777643583303.080,297,25.65,1475.720,268,2678,419.257
1777643583393.164,300,22.32,1474.904,268,2644,419.577
1777643583453.225,302,20.39,1475.855,269,2702,418.435
1777643583543.318,305,18.46,1475.602,268,2667,419.122
1777643583603.379,307,17.98,1475.544,268,2690,419.259
1777643583633.410,308,21.80,1475.687,269,2702,418.340
1777643583723.503,311,19.13,1475.566,268,2678,419.162
1777643583753.534,312,20.74,1474.984,268,2633,420.142
1777643583993.784,320,16.64,1476.012,268,2644,418.261
1777643584113.910,324,14.47,1475.900,268,2678,419.102
1777643584173.973,326,15.25,1475.685,269,3639,418.905
1777643584234.036,328,15.64,1475.877,268,2667,418.968
1777643584264.059,329,19.50,1475.596,268,2655,418.942
1777643584414.156,334,16.34,1475.909,268,2667,418.806
