timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777632074281.620,2,30.00,1368.658,245,3891,376.967
1777632074897.747,22,22.91,1368.484,245,3867,376.379
1777632074928.252,23,31.19,1368.550,245,3867,376.956
1777632074958.709,24,29.98,1367.752,245,3843,376.828
1777632075110.763,29,24.15,1368.714,245,6799,379.358
1777632075232.212,33,20.17,1369.568,245,7734,383.391
1777632075353.277,37,17.13,1368.507,245,3843,376.972
1777632075713.050,49,13.54,1369.176,245,6582,381.601
1777632075742.799,50,18.30,1368.756,245,3843,376.346
1777632075772.512,51,21.79,1368.806,245,3819,376.134
1777632075831.833,53,20.48,1369.260,245,3819,376.499
1777632075891.010,55,19.35,1369.518,245,3843,377.616
1777632075920.545,56,22.26,1369.010,245,3843,377.257
1777632076067.687,61,17.99,1368.825,245,3819,376.624
1777632076311.219,69,14.69,1369.369,245,3819,377.648
1777632076372.360,71,15.32,1368.944,245,3819,376.143
1777632076586.285,78,12.68,1369.435,245,3843,378.405
1777632076677.935,81,11.37,1368.875,245,3843,376.855
1777632076739.024,83,21.76,1369.778,245,7194,380.426
1777632076922.241,89,17.70,1370.490,245,6582,382.788
1777632076952.770,90,20.83,1368.511,245,3843,377.001
1777632076983.296,91,24.55,1369.625,245,3819,378.075
1777632077044.343,93,22.51,1368.889,245,3819,377.545
1777632077441.416,106,17.51,1369.150,245,3867,376.454
1777632077471.929,107,21.93,1369.685,245,3819,376.545
1777632077502.440,108,23.96,1369.690,245,3843,377.922
1777632077746.456,116,18.98,1369.204,245,3819,376.454
1777632077837.929,119,17.16,1369.412,245,3819,375.728
1777632077868.415,120,20.37,1368.989,245,3819,376.874
1777632077898.900,121,24.09,1369.206,245,3819,377.205
1777632077929.383,122,26.04,1369.262,245,3819,376.684
1777632077990.342,124,23.55,1368.941,245,3843,377.197
1777632078112.351,128,19.70,1369.706,245,3867,376.113
1777632078326.332,135,15.96,1369.867,245,3843,376.303
1777632078356.894,136,19.06,1369.344,245,3843,376.661
1777632078448.577,139,16.91,1369.122,245,3819,377.356
1777632078693.047,147,13.73,1369.936,245,3843,377.398
1777632079365.603,169,10.67,1371.071,245,6725,384.278
1777632079396.206,170,15.18,1370.168,245,3819,376.195
1777632079641.046,178,12.38,1369.607,245,3819,377.969
1777632079671.653,179,19.24,1368.661,245,3819,377.712
1777632080008.344,190,15.19,1369.718,245,3843,378.455
1777632080222.486,197,12.53,1369.917,245,7194,379.586
1777632080283.618,199,13.57,1369.760,245,3819,378.035
1777632080497.574,206,11.35,1370.017,245,3819,376.623
1777632080650.393,211,10.14,1370.819,245,6313,384.486
1777632080772.644,215,9.74,1369.568,245,3819,377.297
1777632081017.134,223,8.32,1369.821,245,3867,377.205
1777632081047.694,224,14.91,1371.235,245,6445,383.091
1777632081078.254,225,19.42,1370.107,245,3819,376.849
1777632081108.814,226,22.54,1369.678,245,3867,378.032
1777632081139.393,227,25.25,1369.250,245,3819,378.265
1777632081169.971,228,27.00,1371.206,245,7366,385.073
1777632081383.885,235,21.40,1370.087,245,3843,376.401
1777632081445.001,237,20.38,1370.415,245,3843,377.039
1777632081506.116,239,19.46,1369.918,245,3819,376.998
1777632081536.674,240,22.40,1369.937,245,3843,376.308
1777632082025.560,256,17.31,1369.864,245,3819,377.630
1777632082056.114,257,22.87,1369.584,245,3867,376.880
1777632082178.391,261,18.44,1369.896,245,3843,376.206
1777632082270.103,264,24.23,1370.384,245,3819,375.555
1777632082453.523,270,19.54,1369.942,245,3843,377.940
1777632082636.941,276,16.03,1369.765,245,3796,376.927
1777632082698.080,278,16.19,1370.453,245,3843,377.069
1777632082881.494,284,13.51,1370.247,245,7638,381.849
1777632082912.063,285,19.41,1370.707,245,3843,376.103
1777632082942.631,286,21.10,1370.112,245,3843,378.026
1777632083064.905,290,17.89,1369.993,245,3867,377.951
1777632083278.907,297,14.60,1369.995,245,3843,376.381
1777632083554.045,306,11.85,1369.865,245,3819,376.968
1777632083645.756,309,11.57,1370.321,245,3819,376.756
1777632083798.608,314,10.33,1370.271,245,3843,377.473
1777632083859.749,316,11.79,1370.439,245,3819,377.191
1777632084257.220,329,9.47,1371.427,245,6725,381.909
1777632084654.992,342,7.73,1370.115,245,3867,376.685
1777632084960.988,352,6.63,1370.021,245,3843,376.857
1777632085022.190,354,8.97,1370.036,245,3843,377.253
1777632085083.392,356,10.95,1371.130,245,3843,377.153
1777632085113.992,357,15.94,1370.426,245,3819,376.454
1777632085144.567,358,19.27,1371.588,245,7112,383.772
1777632085358.740,365,15.04,1370.476,245,3843,377.426
1777632085848.459,381,12.19,1372.063,245,7194,385.224
1777632086980.618,418,9.36,1370.455,245,3867,376.710
1777632087103.014,422,9.08,1370.229,245,3867,377.541
1777632087317.030,429,7.82,1370.426,245,3843,377.785
