Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0047632,0.00057508,-0.1224,0,0,0,2.5,0.008126,-1.5225E-08,-1.5303E-05,0.0079565,0.00026644,0.00048604,0,0,0,0,0,0,package://末端夹持器/meshes/base_link.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://末端夹持器/meshes/base_link.STL,,_X2_96f64ef6_X0_1-1;带有方便配合的铲子-1;_X2_96f64ef6_X0_2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shovel_tcp,1.0408E-17,-0.00029192,-5E-05,0,0,0,1.0569E-08,1.2139E-16,5.5692E-30,2.9674E-32,1.1144E-16,-1.5407E-32,2.1522E-16,0,0,0,0,0,0,package://末端夹持器/meshes/shovel_tcp.STL,1,1,1,1,0,0,0,0,0,0,package://末端夹持器/meshes/shovel_tcp.STL,,末端虚拟坐标系设置-3,坐标系5,,shovel_tcp_joint,fixed,-0.025,0.47377,0.077109,0.61087,0,-1.04E-05,base_link,0,0,0,,,,,,,,,,,,
