segment_id,segment_label,segment_type,start_sample_index,end_sample_index,start_row_index,end_row_index,start_epoch_time,end_epoch_time,start_time,end_time,sample_count,duration_s,avg_fx,avg_fy,avg_fz,avg_mx,avg_my,avg_mz,avg_force_magnitude,avg_force_base_x,avg_force_base_y,avg_force_base_z,std_force_base_z,pose_distance_to_final,reference_score,reference_rejected_reason,is_reference_segment,is_final_measurement_segment,is_window_reference,delta_force_base_z_to_reference,delta_force_magnitude_to_reference,estimated_mass_g_from_base_z
0,S0,stable_segment,2,264,2,264,1777638152.8713763,1777638154.6709797,4667.295999999999,4669.295999999999,263,1.7996034622192383,3.8188973384030422,33.730608365019016,61.82224334600761,0.07279847908745248,1.4281939163498099,0.9679163498098861,70.5320083812319,-23.793405591002475,-63.32517981612013,19.950944011134386,0.2675585508550186,1.067518470420862,nan,high_load_pose_mismatch,0,0,0,17.467447878616046,17.27706968390889,1781.18398011717
1,S1,stable_segment,721,807,721,807,1777638157.85467,1777638158.3925183,4672.776,4673.432,87,0.5378482341766357,4.091724137931032,32.73080459770115,60.92965517241378,0.23726436781609206,1.0811724137931038,1.0768275862068968,69.28572603036174,-31.960018787914823,-56.45751989938846,24.32193588018847,0.25856960703830834,0.9460455039534285,nan,high_load_pose_mismatch,0,0,0,21.83843974767013,16.03078733303873,2226.901107684085
2,S2,stable_segment,1100,1164,1100,1164,1777638160.4016213,1777638160.8566039,4675.664,4676.152,65,0.4549825191497803,0.6661538461538461,33.787076923076924,48.28292307692307,0.3614615384615385,-0.6360461538461538,0.8635076923076923,58.93456870640152,-37.77111676067896,-28.709108239732913,34.962375976740525,0.051732974399711286,0.8386656881119791,nan,high_load_pose_mismatch,0,0,0,32.478879844222185,5.679630009078508,3311.924035651541
3,S3,stable_segment,1296,1375,1296,1375,1777638161.7752216,1777638162.2875288,4677.152,4677.76,80,0.5123071670532227,0.6168750000000001,34.227875,47.022875,0.38838750000000005,-0.7445,0.80715,58.16464744237642,-39.37048589876859,-23.260847429296707,35.944028852658306,0.05659298406352216,0.8551605603252437,nan,high_load_pose_mismatch,0,0,0,33.460532720139966,4.909708745053408,3412.0247709605183
4,S4,stable_segment,2033,2499,2033,2499,1777638166.8571253,1777638173.639341,4682.768,4686.32,467,6.78221583366394,4.247558886509636,17.294689507494645,50.526423982869375,0.32065524625267666,0.637695931477516,2.1361584582441115,53.5789954142487,-35.55499411702437,-39.9535227129683,3.106031102169072,0.3145005654450594,0.0,nan,,0,1,0,0.6225349696507312,0.32405671692568916,63.480900169857314
window_reference,W_REF,window_reference,1907,1966,1907,1966,1777638165.9801095,1777638166.3462431,4681.808,4682.264,60,0.3661336898803711,3.1965000000000003,17.0,50.367,0.3914,0.54185,2.2216499999999995,53.25493869732301,-34.92885602266788,-40.123095038689556,2.483496132518341,0.0941170075242404,0.1160216039002445,0.6712189389189473,,1,0,1,0.0,0.0,0.0
