timestamp,mean_m,median_m,min_m,max_m,valid_count
1777608357.5624287,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608357.717612,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608357.7451742,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608357.7756472,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608357.8058867,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608357.8360553,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608357.8673975,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608357.8974519,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608357.9290679,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608357.9597576,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608357.990417,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.0209396,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.0517392,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.081814,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.111494,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.1432757,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.1749785,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.2055762,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.2342284,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.2640295,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.2941694,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.3251197,1.7775784730911255,1.5820000171661377,1.4980000257492065,2.6110000610351562,3041
1777608358.3555086,2.02482008934021,2.133000135421753,1.4800000190734863,2.622000217437744,1922
1777608358.3953993,2.02482008934021,2.133000135421753,1.4800000190734863,2.622000217437744,1922
1777608358.4172912,2.0269625186920166,2.126000165939331,1.505000114440918,2.633000135421753,2016
1777608358.4473584,2.0025925636291504,1.783000111579895,1.558000087738037,2.633000135421753,2348
1777608358.517962,2.0025925636291504,1.783000111579895,1.558000087738037,2.633000135421753,2348
1777608358.5408108,1.7489259243011475,1.558000087738037,1.4700000286102295,2.690000057220459,3383
1777608358.6093931,1.7489259243011475,1.558000087738037,1.4700000286102295,2.690000057220459,3383
1777608358.6317978,1.7523654699325562,1.5660001039505005,1.4910000562667847,2.6780002117156982,3352
1777608358.6625276,1.7507424354553223,1.5550000667572021,1.4800000190734863,2.6780002117156982,3330
1777608358.7330017,1.7507424354553223,1.5550000667572021,1.4800000190734863,2.6780002117156982,3330
1777608358.7527235,1.744320273399353,1.5510001182556152,1.4940000772476196,2.690000057220459,3305
1777608358.7844157,1.7470157146453857,1.5660001039505005,1.4800000190734863,2.690000057220459,3320
1777608358.8234143,1.7470157146453857,1.5660001039505005,1.4800000190734863,2.690000057220459,3320
1777608358.8459072,1.74715256690979,1.558000087738037,1.4870001077651978,2.690000057220459,3337
1777608358.9151778,1.74715256690979,1.558000087738037,1.4870001077651978,2.690000057220459,3337
1777608358.936169,1.7384908199310303,1.558000087738037,1.4980000257492065,2.690000057220459,3330
1777608358.967388,1.7474287748336792,1.5700000524520874,1.4910000562667847,2.6550002098083496,3331
1777608359.0064056,1.7474287748336792,1.5700000524520874,1.4910000562667847,2.6550002098083496,3331
1777608359.0290475,1.745053768157959,1.558000087738037,1.4870001077651978,2.690000057220459,3294
1777608359.1284018,1.745053768157959,1.558000087738037,1.4870001077651978,2.690000057220459,3294
1777608359.150645,1.7416057586669922,1.5550000667572021,1.4730000495910645,2.702000141143799,3327
1777608359.2195942,1.7416057586669922,1.5550000667572021,1.4730000495910645,2.702000141143799,3327
1777608359.243587,1.7644051313400269,1.5820000171661377,1.5130001306533813,2.6780002117156982,3343
1777608359.2739673,1.7308523654937744,1.5550000667572021,1.4800000190734863,2.6780002117156982,3304
1777608359.4344432,1.7308523654937744,1.5550000667572021,1.4800000190734863,2.6780002117156982,3304
1777608359.4558835,1.7494337558746338,1.558000087738037,1.4800000190734863,2.690000057220459,3315
1777608359.55613,1.7494337558746338,1.558000087738037,1.4800000190734863,2.690000057220459,3315
1777608359.5779417,1.742969036102295,1.5470000505447388,1.477000117301941,2.690000057220459,3340
1777608359.610066,1.7470909357070923,1.558000087738037,1.4870001077651978,2.690000057220459,3311
1777608359.7100966,1.7470909357070923,1.558000087738037,1.4870001077651978,2.690000057220459,3311
1777608359.7311618,1.7475804090499878,1.5470000505447388,1.477000117301941,2.702000141143799,3341
1777608359.80162,1.7475804090499878,1.5470000505447388,1.477000117301941,2.702000141143799,3341
1777608359.8232071,1.7447235584259033,1.5430001020431519,1.477000117301941,2.690000057220459,3327
1777608359.922768,1.7447235584259033,1.5430001020431519,1.477000117301941,2.690000057220459,3327
1777608359.9452615,1.7506773471832275,1.5550000667572021,1.477000117301941,2.6670000553131104,3332
1777608359.9767058,1.744734764099121,1.558000087738037,1.4910000562667847,2.690000057220459,3316
1777608360.0456963,1.744734764099121,1.558000087738037,1.4910000562667847,2.690000057220459,3316
1777608360.0681682,1.7467305660247803,1.5550000667572021,1.4730000495910645,2.690000057220459,3331
