sample_index,source_row_index,epoch_time,Time,Tgt_q0,Tgt_q1,Tgt_q2,Tgt_q3,Tgt_q4,Tgt_q5,Act_X,Act_Y,Act_Z,Act_RX,Act_RY,Act_RZ,Fx,Fy,Fz,Mx,My,Mz,force_magnitude,force_base_x,force_base_y,force_base_z,ur_fresh,ft_fresh,is_candidate_reference,is_reference_segment,is_final_measurement_window
0,15,1777637453.6486323,3968.3199999999997,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.6601786577443685,-0.5626150988074518,0.8496470226646562,-0.8091155183266021,-0.27643191488240043,1.490492470282847,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.78521420682753,-48.351182984814415,25.120696179726277,0,1,0,0,0
1,16,1777637453.653858,3968.328,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.6602206123087828,-0.5626615186024951,0.8496042601137872,-0.8090205610806768,-0.2764542480268027,1.4904941065729769,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.78390360107138,-48.35319907163473,25.118630333086116,1,0,0,0,0
2,17,1777637453.6610174,3968.336,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.66018785623209,-0.5626130297737142,0.8496516822494163,-0.809103340382273,-0.27645181426737475,1.4905072618298811,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.78426508249262,-48.35224800254057,25.119960504978827,1,0,0,0,0
3,18,1777637453.6683722,3968.3439999999996,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.6601836725722869,-0.5626222055275507,0.8496492503361687,-0.8090987670424237,-0.27641683417268437,1.4905158934507845,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.78389691603316,-48.35158725598871,25.12174208054226,1,0,0,0,0
4,19,1777637453.6756852,3968.352,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.6601654493325625,-0.5626383896189274,0.8496345931303573,-0.8091308072051406,-0.2763842472121127,1.4904629708787598,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.787024071157745,-48.34897627581549,25.122437169855196,1,0,0,0,0
5,20,1777637453.684573,3968.3599999999997,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.6601671710935602,-0.5625837902039605,0.8496410041656626,-0.8091479753052352,-0.27646751753597976,1.4905241189514649,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.78391834724281,-48.35242509008984,25.12009976730974,1,0,0,0,0
6,21,1777637453.6897173,3968.368,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.6601812909783795,-0.5626212988198483,0.8496424627125607,-0.8091301305180615,-0.27644303682764604,1.490495391645686,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.7852098443636,-48.35133830654447,25.12040326208307,1,0,0,0,0
7,22,1777637453.696882,3968.3759999999997,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.6601830499953137,-0.5625897904480925,0.8496421711757625,-0.8091647219660285,-0.27643130750609496,1.4905399325397335,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.78345686194228,-48.35159456383264,25.122337309019418,1,0,0,0,0
8,23,1777637453.703997,3968.384,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.6602217764962968,-0.5626174424836055,0.8496400122086271,-0.8090906578621483,-0.2764471701864414,1.490537848639895,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.78260669624675,-48.35304458690053,25.12072352842212,1,0,0,0,0
9,24,1777637453.7119246,3968.392,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.6601746005806921,-0.5626405814791698,0.8496417725833965,-0.8090942393540602,-0.2764334586482223,1.4904852185889614,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.78531049357642,-48.351358826160634,25.120224392495807,1,0,0,0,0
10,25,1777637453.7192636,3968.3999999999996,2.1958546240453023,0.3354725547416743,-1.8447968563547397,-0.7713346885901364,1.9011432232263377,0.825873436823209,0.6601742425933851,-0.562609212052918,0.8496385360500205,-0.8091120868044158,-0.2764149418392218,1.4905155384041564,0.62,30.13,57.19,0.306,0.914,1.215,64.64439186812727,-34.78408287239904,-48.35133457859298,25.121970925766043,1,0,0,0,0
