timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777638222448.195,4,30.00,1472.170,268,7031,431.571
1777638222479.000,5,30.79,1471.585,268,6952,431.536
1777638222509.679,6,31.72,1471.313,268,6378,429.212
1777638222540.230,7,32.03,1471.591,268,6653,431.058
1777638222570.755,8,32.29,1471.065,268,6187,429.592
1777638222601.160,9,32.12,1471.127,268,2633,430.399
1777638223051.050,24,24.65,1472.919,268,3256,429.590
1777638223258.378,31,19.66,1472.134,268,2750,429.988
1777638223811.366,50,15.19,1469.055,268,7366,433.053
1777638223839.921,51,19.55,1470.498,268,6653,429.725
1777638223868.422,52,21.48,1469.923,268,4796,430.485
1777638223896.868,53,26.35,1469.837,268,4451,431.518
1777638224066.388,59,21.11,1468.779,268,6066,431.660
1777638224122.505,61,20.45,1467.612,268,3326,429.469
1777638224152.550,62,21.83,1467.614,268,6007,430.406
1777638224182.595,63,27.93,1467.427,268,7112,432.373
1777638224513.023,74,21.70,1463.006,268,3173,431.442
1777638224543.060,75,23.82,1463.480,268,3399,429.967
1777638224993.597,90,18.42,1457.057,268,7112,437.158
1777638225083.699,93,16.54,1453.767,268,6952,434.108
1777638225143.775,95,17.19,1453.270,268,6313,432.651
1777638225233.901,98,15.55,1452.452,268,5676,433.804
1777638225713.044,114,12.19,1447.624,268,3239,434.645
1777638226161.850,129,9.70,1444.314,268,3239,433.722
1777638226311.878,134,8.91,1441.489,268,3033,435.462
1777638226341.882,135,15.26,1442.736,268,7112,437.735
1777638226371.886,136,18.80,1440.796,268,2644,436.466
1777638226581.906,143,15.25,1438.633,268,6725,440.327
1777638226881.919,153,12.28,1436.340,268,6875,438.986
1777638227271.967,166,9.86,1428.102,268,8361,443.843
1777638227362.005,169,10.24,1424.517,268,7545,436.935
1777638227392.018,170,15.04,1423.915,268,7734,437.287
1777638227422.031,171,19.95,1424.091,268,7194,440.022
1777638227482.056,173,18.59,1424.917,268,7734,440.789
1777638227512.069,174,21.47,1424.196,268,7194,444.508
1777638227572.094,176,17.20,1422.843,268,5625,436.027
1777638227962.260,189,14.10,1422.270,268,7031,436.979
1777638228623.150,211,10.95,1425.460,268,6313,435.118
1777638228653.215,212,13.77,1423.998,268,7031,437.799
1777638228743.413,215,14.23,1425.148,268,3173,434.753
1777638229404.587,237,11.05,1419.255,268,3109,434.097
1777638229464.665,239,11.02,1421.444,268,2455,433.060
1777638229644.900,245,9.98,1423.095,268,6875,438.051
1777638229945.303,255,8.30,1426.991,268,7194,434.741
1777638230365.748,269,6.84,1433.287,268,7112,436.575
1777638230395.774,270,12.97,1432.801,268,6952,435.917
1777638230786.115,283,10.37,1434.576,268,2918,432.547
1777638230816.141,284,15.69,1435.513,268,6875,434.648
1777638231206.469,297,12.41,1435.399,268,3256,433.484
1777638231236.491,298,17.78,1435.230,268,6653,433.195
1777638231266.498,299,19.47,1436.191,268,6250,434.355
1777638231296.506,300,26.92,1435.696,268,5837,432.043
1777638231386.527,303,22.72,1435.888,268,3157,433.243
1777638231896.621,320,17.54,1431.708,268,3206,433.895
1777638232226.710,331,13.93,1424.555,268,3381,436.643
1777638232256.729,332,18.23,1422.916,268,6799,439.686
1777638232316.739,334,17.74,1423.823,268,6799,440.251
1777638232526.770,341,14.49,1428.576,268,5156,435.796
