segment_id,segment_label,segment_type,start_sample_index,end_sample_index,start_row_index,end_row_index,start_epoch_time,end_epoch_time,start_time,end_time,sample_count,duration_s,avg_fx,avg_fy,avg_fz,avg_mx,avg_my,avg_mz,avg_force_magnitude,avg_force_base_x,avg_force_base_y,avg_force_base_z,std_force_base_z,pose_distance_to_final,reference_score,reference_rejected_reason,is_reference_segment,is_final_measurement_segment,is_window_reference,delta_force_base_z_to_reference,delta_force_magnitude_to_reference,estimated_mass_g_from_base_z
0,S0,stable_segment,0,168,18,186,1777637632.7882779,1777637633.9394605,4146.248,4147.528,169,1.1511826515197754,0.95698224852071,30.193550295857982,57.08745562130179,0.307792899408284,0.8732366863905325,1.2048343195266271,64.58752929977847,-34.73773580738178,-48.15157881353624,25.421628484284305,0.029880355774687145,1.1944889612995861,nan,high_load_pose_mismatch,0,0,0,19.210065966632936,11.809017476332407,1958.8815718551123
1,S1,stable_segment,1268,1670,1286,1688,1777637641.4819124,1777637644.2389805,4155.912,4158.976,403,2.757068157196045,4.21076923076923,20.967171215880896,48.52761786600497,0.38106947890818865,0.4234863523573201,1.8613697270471465,53.039615179618885,-30.574444418810653,-42.98266830193652,5.474895822110264,0.8921795005738283,0.0,nan,,0,1,0,-0.7366666955411043,0.2611033561728249,75.11909730041394
window_reference,W_REF,window_reference,1143,1202,1161,1220,1777637640.6250193,1777637641.027788,4154.96,4155.407999999999,60,0.402768611907959,5.802500000000001,20.531000000000002,48.272499999999994,0.33969999999999995,0.5333000000000001,1.8702000000000008,52.77851182344606,-30.996300503521244,-42.26129313756028,6.211562517651369,0.3147946298354166,0.04999120665663846,0.7396151594055765,,1,0,1,0.0,0.0,0.0
