timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777638153475.077,14,30.00,1411.000,268,8475,466.237
1777638153535.190,16,26.60,1412.433,268,8141,470.366
1777638153923.070,29,20.60,1407.935,268,3291,461.697
1777638154857.699,61,15.71,1407.633,268,3399,462.035
1777638154886.282,62,18.91,1407.164,268,4759,462.648
1777638155096.573,69,15.19,1406.505,268,4583,461.078
1777638155576.410,85,11.96,1403.649,268,3256,462.400
1777638155606.382,86,17.56,1403.881,268,3418,462.596
1777638155636.351,87,21.74,1403.294,268,2667,462.777
1777638155726.245,90,19.09,1403.005,268,3291,462.490
1777638155756.205,91,22.58,1402.736,268,3363,462.954
1777638155786.163,92,24.79,1402.142,268,2644,463.796
1777638155876.027,95,20.17,1402.774,268,3206,462.949
1777638155966.174,98,28.11,1402.065,268,6513,465.372
1777638155996.223,99,27.66,1402.807,268,7194,467.977
1777638156086.186,102,23.59,1407.100,268,7932,486.946
1777638156146.154,104,21.94,1403.692,268,12374,484.324
1777638156326.022,110,17.74,1402.422,268,12131,490.390
1777638156715.554,123,13.98,1397.473,268,3309,465.528
1777638156925.282,130,11.67,1395.855,268,2690,463.893
1777638157225.345,140,9.55,1393.553,268,3274,464.934
1777638157525.317,150,7.99,1390.200,268,5837,464.768
1777638158215.567,173,6.36,1390.797,268,22097,540.982
1777638158365.748,178,6.31,1393.805,268,10143,522.143
1777638158786.279,192,5.34,1383.004,268,3256,465.819
1777638158936.441,197,5.65,1384.464,268,3291,465.544
1777638159176.808,205,5.28,1383.120,268,5729,468.117
1777638159236.918,207,8.32,1381.829,268,6313,467.259
1777638159357.143,211,8.34,1380.082,268,7279,468.572
1777638159537.491,217,7.63,1379.007,268,6725,467.328
1777638159868.162,228,6.48,1377.170,268,4209,466.728
1777638159898.224,229,13.69,1377.038,268,3048,465.614
1777638159958.280,231,14.39,1376.904,268,6582,467.652
1777638160138.268,237,12.21,1377.845,268,6799,473.372
1777638160288.219,242,10.17,1376.853,268,7454,475.548
1777638160738.020,257,8.33,1375.257,268,6653,466.188
1777638160887.938,262,7.39,1374.629,268,7112,470.796
1777638160978.005,265,12.69,1374.058,268,2738,466.010
1777638161158.109,271,11.03,1371.572,268,3916,466.025
1777638161638.358,287,8.79,1364.429,268,5625,464.322
1777638161728.403,290,9.00,1364.189,268,6952,466.169
1777638161788.433,292,12.19,1363.776,268,6653,465.432
1777638161818.447,293,17.07,1364.829,268,6445,469.660
1777638161908.491,296,15.73,1363.088,268,7279,465.462
1777638161938.512,297,19.64,1362.938,268,6513,467.379
1777638161968.534,298,22.40,1361.838,268,3222,463.094
1777638162118.607,303,18.46,1364.483,268,6378,470.059
1777638162268.670,308,15.39,1363.491,268,6378,467.248
1777638162418.730,313,13.33,1361.709,268,4357,461.566
1777638162958.946,331,10.46,1359.344,268,3094,462.732
1777638163439.322,347,8.37,1367.097,268,14388,476.940
1777638163469.346,348,12.48,1368.615,268,3556,462.203
1777638163649.488,354,10.85,1382.591,268,3773,456.193
1777638163829.629,360,9.41,1390.532,268,2738,453.324
1777638163859.652,361,17.49,1392.541,268,4687,453.841
1777638163949.715,364,16.15,1402.169,268,17186,505.749
1777638163979.735,365,20.12,1396.348,268,3157,448.073
1777638164129.770,370,16.74,1400.114,268,14731,468.587
1777638164879.835,395,12.89,1359.974,268,20624,466.848
1777638165150.033,404,10.59,1355.137,268,2455,457.612
1777638165510.379,416,8.65,1367.485,268,2455,454.441
1777638166892.081,462,6.67,1406.289,268,4267,444.634
1777638166982.170,465,7.56,1408.603,268,6007,449.958
1777638167432.591,480,6.23,1403.202,268,6725,445.443
1777638167672.822,488,5.63,1400.049,268,3683,443.325
1777638167852.997,494,5.80,1402.099,268,7454,452.619
1777638167883.026,495,8.11,1399.753,268,4070,447.844
1777638167943.078,497,18.43,1399.275,268,8967,453.707
1777638168033.147,500,16.52,1394.666,268,3222,453.455
1777638168333.405,510,13.19,1374.332,268,2505,467.066
1777638168393.458,512,14.77,1370.951,268,2505,468.296
1777638168753.778,524,11.78,1366.904,268,2515,467.312
1777638168783.805,525,17.75,1367.632,268,6582,470.767
1777638168873.886,528,16.06,1368.730,268,6799,467.060
1777638168903.914,529,20.19,1369.623,268,6007,465.153
1777638168963.965,531,19.42,1369.991,268,3222,464.215
1777638169624.305,553,14.94,1378.520,268,6250,463.160
1777638169804.385,559,12.56,1373.767,268,5625,462.890
1777638169894.424,562,12.38,1371.394,268,6313,463.595
1777638170014.495,566,11.41,1370.503,268,6313,466.618
