timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777637376596.496,6,30.00,1403.896,268,2655,461.285
1777637376717.798,10,24.67,1405.210,268,2851,461.068
1777637376747.898,11,26.44,1404.910,268,2644,461.276
1777637377047.781,21,20.67,1400.954,268,2878,463.381
1777637377137.154,24,18.14,1400.426,268,2633,462.799
1777637377166.823,25,22.41,1400.629,268,4652,463.741
1777637377196.580,26,25.96,1400.055,268,2667,463.302
1777637377226.283,27,27.33,1402.078,268,2678,462.730
1777637378486.443,70,20.69,1404.681,268,2702,462.200
1777637378666.611,76,16.92,1403.027,268,2622,462.427
1777637378906.807,84,13.73,1404.341,268,2655,461.074
1777637378936.829,85,18.23,1402.163,268,2932,462.703
1777637379237.026,95,14.51,1404.022,268,2667,459.845
1777637379417.256,101,12.27,1402.603,268,2644,460.279
1777637379687.584,110,10.11,1402.171,268,3189,461.059
1777637380198.168,127,8.07,1400.973,268,3239,460.294
1777637380378.354,133,7.08,1399.296,268,2667,460.189
1777637380468.368,136,14.73,1399.466,268,2678,459.865
1777637380798.375,147,11.80,1399.910,268,2633,460.325
1777637380888.365,150,11.76,1399.684,268,2678,460.324
1777637381038.336,155,10.46,1399.405,268,2678,459.700
1777637381428.372,168,8.49,1398.824,268,3274,459.847
1777637381548.384,172,7.68,1399.328,268,2667,459.591
1777637381788.393,180,7.18,1400.179,268,2787,459.358
1777637382358.443,199,5.82,1399.089,268,3109,459.332
1777637382508.480,204,5.96,1396.702,268,2655,460.566
1777637382568.494,206,6.10,1395.568,268,2678,460.853
1777637382688.522,210,14.13,1393.722,268,3206,461.579
1777637383108.604,224,11.19,1387.301,268,2644,459.941
1777637383468.794,236,9.11,1383.598,268,2946,458.959
1777637383799.077,247,7.59,1381.941,268,4419,459.801
1777637383949.206,252,7.30,1381.651,268,6313,460.086
1777637384069.310,256,7.55,1381.825,268,2667,458.791
1777637384249.467,262,7.10,1382.651,268,7734,465.359
1777637384309.510,264,9.46,1381.644,268,4583,460.660
1777637384939.531,285,7.49,1381.964,268,2690,460.429
1777637385059.523,289,7.62,1382.385,268,2690,460.260
1777637385299.544,297,6.77,1380.825,268,2667,459.814
1777637385479.689,303,6.40,1380.312,268,4583,459.455
1777637385509.716,304,11.51,1380.060,268,2812,459.891
1777637385659.850,309,10.47,1380.829,268,2655,460.049
1777637386050.200,322,8.50,1379.776,268,2678,460.145
1777637386230.364,328,7.40,1379.188,268,3048,460.697
1777637386650.628,342,6.25,1377.193,268,2891,460.770
1777637387220.957,361,5.12,1372.426,268,2702,460.234
1777637387641.495,375,4.45,1369.265,268,2690,460.177
1777637387671.545,376,11.62,1369.225,268,4583,460.178
1777637387821.802,381,10.32,1369.657,268,6875,465.489
1777637387911.960,384,10.49,1369.114,268,2678,458.741
1777637388842.977,415,8.14,1363.446,268,2557,459.948
1777637388872.996,416,12.24,1364.041,268,7366,460.011
1777637388903.014,417,20.90,1362.746,268,2546,460.036
1777637388963.051,419,19.94,1361.851,268,2546,460.071
1777637389113.142,424,16.49,1361.551,268,2515,457.676
1777637389203.196,427,15.41,1361.486,268,3141,459.033
1777637389443.351,435,12.62,1361.055,268,2536,456.714
1777637389473.366,436,16.50,1361.468,268,3173,456.792
1777637389623.437,441,14.02,1361.590,268,3291,455.850
1777637389713.479,444,13.14,1361.695,268,2515,456.396
1777637389743.493,445,18.08,1361.876,268,2515,455.875
1777637389833.534,448,16.73,1361.571,268,2525,455.722
1777637389923.575,451,15.16,1359.772,268,2465,455.471
1777637390103.657,457,12.78,1359.667,268,4687,455.238
1777637390493.880,470,10.23,1363.741,268,7545,455.535
1777637390523.899,471,16.14,1361.853,268,6066,452.742
1777637390884.125,483,12.80,1369.281,268,2475,453.082
1777637390914.144,484,18.28,1369.416,268,2465,453.494
1777637391214.330,494,14.54,1378.853,268,6007,458.590
1777637391274.366,496,15.16,1380.110,268,2475,458.592
1777637391544.524,505,12.29,1381.002,268,2465,459.507
1777637391634.566,508,11.90,1381.475,268,2465,460.143
1777637392835.391,548,9.13,1390.393,268,5729,463.270
1777637392895.455,550,10.47,1389.276,268,6875,462.796
1777637392925.487,551,21.19,1390.176,268,2475,462.622
1777637392985.552,553,19.15,1390.533,268,6313,463.464
1777637393525.973,571,14.84,1391.277,268,2475,463.550
1777637393676.000,576,12.77,1393.161,268,7279,466.519
1777637394036.053,588,10.28,1391.445,268,2465,463.149
1777637394096.061,590,12.34,1394.425,268,4180,461.629
1777637394126.064,591,16.65,1393.888,268,5288,463.919
1777637394276.082,596,14.13,1393.441,268,6445,462.979
1777637394366.142,599,13.43,1393.407,268,2465,462.960
1777637394636.321,608,11.01,1393.807,268,2465,464.118
1777637394666.341,609,15.29,1392.692,268,2475,462.641
1777637394786.421,613,13.08,1392.023,268,2891,463.782
1777637394846.460,615,19.90,1393.458,268,6875,472.776
1777637394966.540,619,17.07,1393.027,268,5475,465.705
