timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777635636192.016,4,30.00,1371.909,245,3819,378.026
1777635636253.052,6,26.61,1372.318,245,3819,379.287
1777635636404.785,11,21.64,1372.256,245,3796,377.976
1777635636764.443,23,16.93,1371.841,245,3819,378.809
1777635637061.904,33,13.54,1371.969,245,3796,378.185
1777635637150.979,36,12.79,1372.495,245,3796,378.933
1777635637210.173,38,14.13,1372.478,245,3796,379.421
1777635637239.714,39,17.80,1372.060,245,3819,379.572
1777635637386.854,44,15.01,1372.993,245,3819,378.709
1777635637533.052,49,12.93,1372.582,245,3819,379.143
1777635637591.267,51,14.26,1373.256,245,3796,378.649
1777635637793.835,58,11.84,1372.470,245,3819,378.511
1777635638027.661,66,9.95,1372.579,245,3819,379.437
1777635638267.735,74,8.48,1371.970,245,3819,379.226
1777635638627.608,86,7.06,1373.321,245,3819,379.439
1777635638987.381,98,5.99,1373.299,245,3796,377.938
1777635639137.360,103,6.13,1373.065,245,3819,378.982
1777635639586.901,118,5.16,1372.861,245,3819,379.437
