epoch_time,Time,Act_q0,Act_q1,Act_q2,Act_q3,Act_q4,Act_q5,Act_qd0,Act_qd1,Act_qd2,Act_qd3,Act_qd4,Act_qd5,Act_I0,Act_I1,Act_I2,Act_I3,Act_I4,Act_I5,Act_X,Act_Y,Act_Z,Act_RX,Act_RY,Act_RZ,Act_dX,Act_dY,Act_dZ,Act_dRX,Act_dRY,Act_dRZ,Tgt_q0,Tgt_q1,Tgt_q2,Tgt_q3,Tgt_q4,Tgt_q5,Robot_Mode,Safety_Mode,Main_Voltage,Robot_Voltage,Robot_Current,Fx,Fy,Fz,Mx,My,Mz,Label,ur_fresh,ft_fresh
1778204800.1758566,1331.0639999999999,1.7695993185043335,0.24337971210479736,-2.3298097292529505,-1.0040929953204554,3.5407354831695557,0.5643907189369202,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1144409328699112,3.982544422149658,-1.5109803676605225,0.1973877102136612,-0.0403747595846653,-0.1749572902917862,0.14224888307809774,-0.34685572013827287,0.8900970202173648,-1.385376492370387,-1.5063033083445443,1.9509586038523123,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.04600143432617,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.235142,1331.072,1.769647240638733,0.2434157133102417,-2.3298335711108606,-1.0041049162494105,3.5407116413116455,0.5643547773361206,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0686645582318306,3.973389148712158,-1.5244312286376953,0.2086029201745987,-0.0403747595846653,-0.1996307522058487,0.14227051490378428,-0.34685664139878847,0.8900787611280238,-1.3853267911869402,-1.5063409247786643,1.9509519442747358,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.04600143432617,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.2384531,1331.08,1.769647240638733,0.2434636354446411,-2.3298097292529505,-1.0040810743915003,3.540783166885376,0.5643907189369202,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1052856519818306,3.964233875274658,-1.5378820896148682,0.2018737941980362,-0.0314025916159153,-0.1951446682214737,0.14228160637195572,-0.3469203030396405,0.8900652389458616,-1.385271375732571,-1.5064623327264581,1.9509262633017252,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.04600143432617,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.2531776,1331.088,1.7696592807769775,0.2434396743774414,-2.329773728047506,-1.0041287581073206,3.5407354831695557,0.5643787384033203,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1327514797449112,3.982544422149658,-1.5109803676605225,0.1973877102136612,-0.0426178015768528,-0.2063598781824112,0.14228421669048527,-0.3469125882329044,0.8900849455260149,-1.3852967802583223,-1.5064073041705408,1.9509319539922232,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.04600143432617,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.2663584,1331.096,1.769647240638733,0.24342775344848633,-2.3297975699054163,-1.0041049162494105,3.54074764251709,0.5643667578697205,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1007080152630806,3.982544422149658,-1.5244312286376953,0.2130890041589737,-0.0314025916159153,-0.2130890041589737,0.14227861778833759,-0.3468977155838138,0.8900824356394428,-1.3852927473572385,-1.5064045566369402,1.9509354875420475,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.04600143432617,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.267927,1331.104,1.7695872783660889,0.24336779117584229,-2.3297975699054163,-1.0040810743915003,3.5407354831695557,0.5643907189369202,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1190185695886612,3.977966785430908,-1.5087385177612305,0.1996307522058487,-0.0403747595846653,-0.1884155422449112,0.14224608454302914,-0.3468641874875151,0.8901034988241674,-1.385374585670787,-1.5062997196986894,1.9509404106302461,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.04600143432617,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.2751207,1331.1119999999999,1.7696112394332886,0.24345171451568604,-2.3297856489764612,-1.004068676625387,3.5407590866088867,0.56440269947052,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1510620266199112,3.968811511993408,-1.5199475288391113,0.2018737941980362,-0.0471038855612278,-0.1996307522058487,0.14226939217096748,-0.34693808976035284,0.8900746232341203,-1.3852959401571998,-1.506414566883393,1.9508760762378596,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.04600143432617,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.2771604,1331.12,1.7696112394332886,0.2434396743774414,-2.3297856489764612,-1.0041049162494105,3.5407590866088867,0.5643308162689209,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0961303785443306,3.968811511993408,-1.5266729593276978,0.2086029201745987,-0.0426178015768528,-0.1973877102136612,0.14227674634915916,-0.34693216540680655,0.890080309878448,-1.3852537860349603,-1.5064115123353654,1.9508774632152162,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.029998779296875,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.2854698,1331.128,1.7696112394332886,0.2434396743774414,-2.329761568699972,-1.0040929953204554,3.5407116413116455,0.5643907189369202,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0915527418255806,3.968811511993408,-1.5177057981491089,0.2041168361902237,-0.0336456336081028,-0.2243042290210724,0.1422694422021032,-0.34693982836973414,0.8900859444438829,-1.3853122183810518,-1.5063636082621519,1.9508534319439668,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.029998779296875,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.2939262,1331.136,1.7696112394332886,0.24345171451568604,-2.3298216501819056,-1.0040929953204554,3.5407116413116455,0.5644146800041199,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0595092847943306,3.977966785430908,-1.5401238203048706,0.2063598781824112,-0.0358886756002903,-0.2108459621667862,0.14225642341688252,-0.3468893414789393,0.8900681732677915,-1.3853672059866322,-1.5063214476349953,1.9509114468600026,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.029998779296875,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.295489,1331.144,1.7696112394332886,0.243391752243042,-2.3298454920398157,-1.0040929953204554,3.54074764251709,0.5643547773361206,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1327514797449112,3.950500965118408,-1.5177057981491089,0.1996307522058487,-0.0314025916159153,-0.2332763969898224,0.14225514279878437,-0.3468409804528395,0.8900840601430289,-1.3853440187690085,-1.5063258129460644,1.9509728148466763,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.029998779296875,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.3030713,1331.152,1.7696353197097778,0.24345171451568604,-2.3297975699054163,-1.0040929953204554,3.5406875610351562,0.5643547773361206,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0686645582318306,3.968811511993408,-1.5177057981491089,0.2063598781824112,-0.0336456336081028,-0.2265472710132599,0.14227799923579565,-0.34692019542326763,0.8900730966995226,-1.3852896491618065,-1.5063614066868651,1.9508546460587235,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.029998779296875,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.3098617,1331.1599999999999,1.7696353197097778,0.2434396743774414,-2.3298097292529505,-1.0041168371783655,3.5407354831695557,0.5644146800041199,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0869751051068306,3.973389148712158,-1.5266729593276978,0.2018737941980362,-0.0426178015768528,-0.2086029201745987,0.14226435051672312,-0.34687985357608225,0.8900765189907436,-1.3853603570977575,-1.506352965165301,1.9509610446515468,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.029998779296875,nan,nan,nan,nan,nan,nan,0,1,0
1778204800.3159626,1331.168,1.7696112394332886,0.24340379238128662,-2.3298216501819056,-1.0040929953204554,3.5406997203826904,0.56440269947052,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1647949367761612,3.977966785430908,-1.5289148092269897,0.2063598781824112,-0.0314025916159153,-0.2086029201745987,0.14225062193306898,-0.34685552120827,0.890085745957921,-1.3853906336815627,-1.5062822333815968,1.950941466962543,0.0,0.0,0.0,0.0,0.0,0.0,1.7695566142836938,0.24339841436500986,-2.329816140589685,-1.004101392145385,3.540695881423035,0.5643377819968957,7.0,1.0,48.0,48.27399826049805,48.029998779296875,nan,nan,nan,nan,nan,nan,0,1,0
