segment_id,segment_label,segment_type,start_sample_index,end_sample_index,start_row_index,end_row_index,start_epoch_time,end_epoch_time,start_time,end_time,sample_count,duration_s,avg_fx,avg_fy,avg_fz,avg_mx,avg_my,avg_mz,avg_force_magnitude,avg_force_base_x,avg_force_base_y,avg_force_base_z,std_force_base_z,pose_distance_to_final,reference_score,reference_rejected_reason,is_reference_segment,is_final_measurement_segment,is_window_reference,delta_force_base_z_to_reference,delta_force_magnitude_to_reference,estimated_mass_g_from_base_z
0,S0,stable_segment,0,160,29,189,1777638222.0421402,1777638223.1369882,4736.1759999999995,4737.4,161,1.0948479175567627,3.306086956521739,32.74590062111801,60.85217391304347,0.062136645962732925,1.560142857142857,1.0196521739130433,69.18246273642129,-23.231560343912648,-62.34050912316728,18.977961288004966,0.043932675860733926,1.0322873955594547,nan,high_load_pose_mismatch,0,0,0,16.935885874118412,15.445502278869661,1726.9797406982418
1,S1,stable_segment,1287,1525,1316,1554,1777638230.8622215,1777638232.4967194,4745.9839999999995,4747.8,239,1.634497880935669,3.8625523012552296,17.514476987447704,50.944769874476975,0.3394142259414226,0.6396317991631797,2.1513849372384932,54.0130031998362,-35.460653350356075,-40.6418326412503,2.798332381807969,0.44968746383581226,0.0,nan,,0,1,0,0.756256967921416,0.2760427422845737,77.1167491366997
window_reference,W_REF,window_reference,1155,1214,1184,1243,1777638229.9848213,1777638230.3665645,4744.976,4745.432,60,0.3817431926727295,3.0736666666666665,17.426166666666667,50.73783333333333,0.37211666666666665,0.5820166666666665,2.1922,53.736960457551625,-35.55880930449915,-40.23486192031426,2.042075413886553,0.25787467773904493,0.057680366090666575,0.7153505205171768,,1,0,1,0.0,0.0,0.0
