sample_index,source_row_index,epoch_time,Time,Tgt_q0,Tgt_q1,Tgt_q2,Tgt_q3,Tgt_q4,Tgt_q5,Act_X,Act_Y,Act_Z,Act_RX,Act_RY,Act_RZ,Fx,Fy,Fz,Mx,My,Mz,force_magnitude,force_base_x,force_base_y,force_base_z,ur_fresh,ft_fresh,is_candidate_reference,is_reference_segment,is_final_measurement_window
0,10,1777637719.8403034,4235.784,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6604132814224337,-0.562553536129377,0.8495313862026488,-0.8089970497971842,-0.2762720036219268,1.4905824468461861,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.782626636565865,-48.64455091170036,25.02996412569106,0,1,0,0,0
1,11,1777637719.8419735,4235.7919999999995,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6604353531702185,-0.562626262532108,0.8494994880661432,-0.8089233050377858,-0.27631050909480925,1.4905709773196385,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.78217367690732,-48.64636928417884,25.027041317953877,1,0,0,0,0
2,12,1777637719.8492274,4235.8,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6604176282344335,-0.5625731242802433,0.8495374984501185,-0.8089928684331588,-0.27629361576956935,1.4905632830994957,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.78345744884541,-48.6447353888734,25.02848420796867,1,0,0,0,0
3,13,1777637719.8563814,4235.808,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6604118819730929,-0.562609639455523,0.8495362901210834,-0.8089654266802646,-0.2762474030273549,1.4905607218036117,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.78341458818622,-48.64385912218937,25.0302450739764,1,0,0,0,0
4,14,1777637719.864795,4235.816,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.660384954070085,-0.5625909038633033,0.8495419262256907,-0.8090155958688101,-0.2762873703450091,1.4905469626662036,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.784568615194495,-48.64386198548208,25.028681839493363,1,0,0,0,0
5,15,1777637719.8707075,4235.824,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6604319129791452,-0.5625785196512925,0.8495397103043549,-0.8089767874256608,-0.2762968363839704,1.4906008163721505,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.7813781873119,-48.64592496271893,25.02897865050283,1,0,0,0,0
6,16,1777637719.8802516,4235.831999999999,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6603811574077332,-0.5625693595203518,0.8495495185023233,-0.8090491986220143,-0.27626606057269393,1.4905394927154512,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.78542189241586,-48.64263966367727,25.029905595129943,1,0,0,0,0
7,17,1777637719.8845062,4235.84,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6603905435112803,-0.562511105067859,0.8495829021250122,-0.8091081654521574,-0.2762488201013917,1.49060289366974,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.783029793269755,-48.64280066788981,25.032821278693017,1,0,0,0,0
8,18,1777637719.8921645,4235.848,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6603869044235655,-0.5625717746413135,0.8495493421865312,-0.8090521284299556,-0.27626169333922446,1.490550679725211,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.78491408048363,-48.64274186689302,25.030392410930155,1,0,0,0,0
9,19,1777637719.8995578,4235.856,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6604122679169977,-0.5625570314350671,0.849551260773039,-0.8090261008766247,-0.2762940763547171,1.4905885174265396,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.78259783343192,-48.64485023847445,25.029421265802235,1,0,0,0,0
10,20,1777637719.907504,4235.864,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6604165581334108,-0.5625831681686551,0.8495287278134536,-0.8089883304372193,-0.2763067438271341,1.490580904138987,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.78247721055511,-48.64555566329663,25.02821303504173,1,0,0,0,0
11,21,1777637719.9133935,4235.871999999999,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6604048814956666,-0.5625769140180163,0.8495379788954709,-0.8089983637258235,-0.2762612817448163,1.4905596968520691,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.783815537468186,-48.64372172642739,25.029970921521674,1,0,0,0,0
12,22,1777637719.9208233,4235.88,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6603840348287191,-0.5625703995395333,0.8495697079550713,-0.8090391648316788,-0.2762717808443286,1.4905138938995575,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.786558533489895,-48.6423417468676,25.02895027451216,1,0,0,0,0
13,23,1777637719.928012,4235.888,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6604081297275269,-0.5625668016009071,0.8495531851381855,-0.8090384311923396,-0.2762740162124532,1.4905732955148079,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.78357663897602,-48.643790040372366,25.03016060648838,1,0,0,0,0
14,24,1777637719.9351828,4235.896,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6604245844611316,-0.5625686208013951,0.8495432667265488,-0.8090289165681079,-0.2762898017177391,1.4905996103645318,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.7820930047922,-48.64495433098453,25.029900326449543,1,0,0,0,0
15,25,1777637719.990637,4235.9039999999995,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6603834396675899,-0.5625493906161041,0.8495619355166115,-0.8090688292800735,-0.2762818076055945,1.4905388811744373,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.78563482168602,-48.64275442574024,25.029395149959253,1,0,0,0,0
16,26,1777637720.0289626,4235.912,2.19610333442688,0.3355717658996582,-1.8447478453265589,-0.7715166250811976,1.9008179903030398,0.8257809281349182,0.6603748918069121,-0.5626033415576938,0.8495461252464244,-0.8090351466819071,-0.27627459900841006,1.490509288215105,0.72,29.1,57.33,0.289,0.866,1.182,64.29663521522724,-33.78673005641873,-48.642367363762986,25.02866894869595,1,0,0,0,0
