segment_id,segment_label,segment_type,start_sample_index,end_sample_index,start_row_index,end_row_index,start_epoch_time,end_epoch_time,start_time,end_time,sample_count,duration_s,avg_fx,avg_fy,avg_fz,avg_mx,avg_my,avg_mz,avg_force_magnitude,avg_force_base_x,avg_force_base_y,avg_force_base_z,std_force_base_z,pose_distance_to_final,reference_score,reference_rejected_reason,is_reference_segment,is_final_measurement_segment,is_window_reference,delta_force_base_z_to_reference,delta_force_magnitude_to_reference,estimated_mass_g_from_base_z
0,S0,stable_segment,0,186,10,196,1777637719.8403034,1777637721.1159837,4235.784,4237.208,187,1.2756803035736084,0.7002673796791443,29.035080213903747,57.32491978609627,0.2863368983957219,0.8648074866310164,1.1804652406417115,64.26255005043856,-33.72585247598532,-48.657042396403966,24.99463553182741,0.044958309159522966,1.066891654460379,nan,high_load_pose_mismatch,0,0,0,25.77265549495535,4.466553973665263,2628.0794659700664
1,S1,stable_segment,776,1127,786,1137,1777637729.341025,1777637731.7457345,4241.704,4244.376,352,2.4047093391418457,3.0293181818181822,26.80585227272727,48.10582386363637,0.3980028409090908,0.26748863636363635,1.5796306818181818,55.17425640020224,-35.2504819040415,-42.175755989619695,4.529955873629503,0.8150424053369455,0.0,nan,,0,1,0,5.307975836757446,-4.62173967657106,541.2629018836653
window_reference,W_REF,window_reference,651,710,661,720,1777637724.3051693,1777637728.8897016,4240.7519999999995,4241.2,60,4.584532260894775,2.2543333333333337,29.702999999999992,51.839666666666666,0.3496000000000001,0.5386666666666665,1.3349000000000004,59.7959960767733,-40.39755317046247,-44.04335010802104,-0.7780199631279435,1.6131073601494528,0.16874795470406137,4.567806125241724,,1,0,1,0.0,0.0,0.0
